"X","county_state","mu","sd","fp","fst","N","h","badfit","ofs","outside_data","mu_025","mu_975","mu_16","mu_84","AIC_gau","AIC_lm","mod_for_cens","beta1_lm","y2","y3","opt_relation_to_data","cens","y_na","named_location","location","State","latitude","longitude","Year","planting_doy","harvest_doy","min_flow_50_doy","max_flow_50_doy","group","GDD_modave","GDD_fixed","tot_precip","frost_day","GDD_future","GDD_mod_sitemean","GDD_anomaly","GDD_fixed_sitemean","GDD_fixed_anomaly","tot_precip_sitemean","precip_anomaly","frost_sitemean","frost_anomaly","GDD_future_sitemean","GDD_future_anomaly"
1,"Adams_ND",204.478908261863,6.2769551011726,16.0884832735218,196.434666625102,32629.0195477323,2073.7913934104,FALSE,49.0635778994808,"in_range",201.545091236755,207.517665030486,203.73299336415,205.219385532443,441.8143,442.0153,"gauss",6e-04,203.73299336415,205.219385532443,"opt_within","interval",204.478908261863,"Hettinger_REC","Hettinger","ND",46.0033,-102.6444,1986,136,296.100313479624,201,208,"Adams_ND",801.39,1333.365,71.83,285,915.8537,772.831136363636,28.5588636363636,1350.38102272727,-17.0160227272727,73.1345454545455,-1.30454545454546,282.522727272727,2.47727272727275,887.503223863636,143.022563636364
2,"Adams_ND",214.851180309385,14.3675309091753,36.8254634593281,196.438448579721,73809.7662685308,2049.47089776292,FALSE,112.216482904831,"in_range",209.641720866167,234.077693655561,211.906816045487,215.625814233112,540.3673,538.4999,"gauss",0.0136,211.906816045487,215.625814233112,"opt_within","interval",214.851180309385,"Hettinger_REC","Hettinger","ND",46.0033,-102.6444,2002,133,282,209,215,"Adams_ND",792.125,1390.75,72.64,285,894.4315,772.831136363636,19.2938636363637,1350.38102272727,40.3689772727273,73.1345454545455,-0.49454545454546,282.522727272727,2.47727272727275,887.503223863636,121.600363636364
3,"Adams_ND",215.535581544724,8.32632482762541,21.3412292361525,204.864966926647,49508.053654204,2372.09768198276,FALSE,65.6525509473183,"in_range",213.978441265473,219.270966855739,214.925283883846,216.337665784405,653.296,654.8647,"gauss",0.0064,214.925283883846,216.337665784405,"opt_within","interval",215.535581544724,"Hettinger_REC","Hettinger","ND",46.0033,-102.6444,2003,135,290,211,219,"Adams_ND",720.74,1348.88,14.09,273,841.2592,772.831136363636,-52.0911363636363,1350.38102272727,-1.50102272727258,73.1345454545455,-59.0445454545455,282.522727272727,-9.52272727272725,887.503223863636,68.4280636363636
4,"Adams_ND",211.17677565869,8.43372715093317,21.6165124673088,200.368519425036,12068.7293521424,570.889515765122,FALSE,60.0973724580318,"in_range",205.399831990859,231.752113219667,208.857140585557,213.521400211862,848.0805,847.9393,"gauss",0.0292,208.857140585557,213.521400211862,"opt_within","interval",211.17677565869,"Hettinger_REC","Hettinger","ND",46.0033,-102.6444,2005,125,292,205,215,"Adams_ND",685.655,1337.435,105.63,279,818.2814,772.831136363636,-87.1761363636364,1350.38102272727,-12.9460227272727,73.1345454545455,32.4954545454545,282.522727272727,-3.52272727272725,887.503223863636,45.4502636363636
5,"Adams_ND",228.393481684879,7.11276847530208,18.2307591497594,219.278102109999,37880.8489070723,2124.66809499052,FALSE,55.6848314143067,"in_range",226.435184820376,231.86228464887,227.693146185401,229.200958457337,617.8101,618.1336,"gauss",0.0078,227.693146185401,229.200958457337,"opt_within","interval",228.393481684879,"Hettinger_REC","Hettinger","ND",46.0033,-102.6444,2009,147,313,223,232,"Adams_ND",705.295,1209.43,91.4,282,816.8876,772.831136363636,-67.5361363636364,1350.38102272727,-140.951022727273,73.1345454545455,18.2654545454545,282.522727272727,-0.522727272727252,887.503223863636,44.0564636363637
6,"Adams_ND",232.618176854848,NA,NA,NA,NA,1626.6553917813,TRUE,0,"in_range",NA,NA,NA,NA,676.5426,674.639,"exclude",-0.0061,NA,NA,"unclear","interval",NA,"Hettinger_REC","Hettinger","ND",46.0033,-102.6444,2011,157,252,223,235,"Adams_ND",843.215,1283.6,74.69,292,957.5526,772.831136363636,70.3838636363637,1350.38102272727,-66.7810227272728,73.1345454545455,1.55545454545454,282.522727272727,9.47727272727275,887.503223863636,184.721463636364
7,"Adams_ND",214.58970979521,8.00846408037894,20.5265193596347,204.326450115393,38947.2631293337,1940.16103615661,FALSE,62.3242786391088,"in_range",212.593050863062,235.650672358218,213.274176202713,217.120522301619,487.3379,486.2772,"gauss",0.0315,213.274176202713,217.120522301619,"opt_within","interval",214.58970979521,"Hettinger_REC","Hettinger","ND",46.0033,-102.6444,2013,135,299,209,216,"Adams_ND",747.33,1388.895,83.24,279,875.12115,772.831136363636,-25.5011363636363,1350.38102272727,38.5139772727273,73.1345454545455,10.1054545454545,282.522727272727,-3.52272727272725,887.503223863636,102.290013636364
8,"Adams_ND",227.744201263813,16.4120345895303,42.0657372439694,206.711332641828,64725.1290633352,1573.33269357572,FALSE,125.943103721584,"greater_than",216.13823984531,290.128104268559,217.655039775574,229.755475356517,491.9949,490.095,"gauss",0.0432,217.655039775574,275,"opt_after","interval",227.744201263813,"Hettinger_REC","Hettinger","ND",46.0033,-102.6444,2014,142,310,210,221,"Adams_ND",759.325,1273.59,136.79,302,887.1506,772.831136363636,-13.5061363636363,1350.38102272727,-76.7910227272728,73.1345454545455,63.6554545454545,282.522727272727,19.4772727272727,887.503223863636,114.319463636364
9,"Adams_ND",257.259183139389,14.7280845821709,37.749599707509,238.384383285634,164179.591036745,4447.16216003147,FALSE,120.734520259241,"greater_than",245.665786896021,430.578876168674,247.412775326305,271.672501714791,710.1954,708.3718,"gauss",0.0688,247.412775326305,258,"opt_after","interval",257.259183139389,"Hettinger_REC","Hettinger","ND",46.0033,-102.6444,2015,139,293,236,246,"Adams_ND",777.29,1325.205,39,289,894.3323,772.831136363636,4.45886363636362,1350.38102272727,-25.1760227272728,73.1345454545455,-34.1345454545455,282.522727272727,6.47727272727275,887.503223863636,121.501163636364
10,"Adams_ND",214.609402463124,10.4196705096674,26.7066901082462,201.256057409001,69166.3152502818,2648.19962467246,FALSE,82.7384055008335,"in_range",211.500507553547,250.867989098619,212.401992022242,219.472202452563,474.849,474.5778,"gauss",0.0366,212.401992022242,219.472202452563,"opt_within","interval",214.609402463124,"Hettinger_REC","Hettinger","ND",46.0033,-102.6444,2016,138,300,205,215,"Adams_ND",814.835,1376.48,45.62,281,913.7418,772.831136363636,42.0038636363637,1350.38102272727,26.0989772727273,73.1345454545455,-27.5145454545455,282.522727272727,-1.52272727272725,887.503223863636,140.910663636364
